Dien tich,So phong,Gia
32,5,184.38
27,3,166.67
33,5,136.36
11,3,131.82
33,8,130.3
34,4,120.59
34,4,120.59
30,3,118.33
35,3,114.29
31,4,112.9
18,2,105.56
34,3,104.41
32,2,103.13
21,3,100
28,3,100
35,6,100
30,2,98.33
20,3,97.5
35,3,97.14
32,3,96.88
25,3,96
25,3,96
30,3,95
30,3,95
30,3,95
34,3,94.12
30,3,93.33
30,3,91.67
30,4,91.67
32,3,89.06
31,4,88.71
33,3,87.88
32,3,87.5
35,3,87.14
30,2,86.67
30,3,86.67
32,5,85.94
21,3,85.71
35,4,85.71
27,3,85.19
32,4,84.38
32,4,84.38
35,3,84.29
32,3,83.75
30,4,83.33
35,2,82.86
32,4,82.81
30,4,82.67
23,2,82.61
34,3,82.35
25,3,82
30,2,81.67
30.2,2,81.67
24,3,81.25
32,3,81.25
35,2,80.86
33,3,80.3
32,3,78.13
33,4,77.27
36,3,76.39
35,3,75.71
30,3,75
30,4,75
30,3,75
31,3,74.19
36,4,73.61
27,3,72.22
36,5,72.22
30,2,71.67
35,3,71.43
35,3,71.43
28,3,70
30,3,70
30,4,70
18,2,69.44
18,2,69.44
36,3,69.44
35,3,68.57
36,4,65.28
33,3,65.15
34,3,63.24
35,4,62.86
30,3,61.67
36,3,61.67
32,3,60.94
30,2,60
36,4,59.72
36,3,59.72
32,4,56.25
32,3,56.25
35,4,55.71
36,3,55.22
32,3,52.81
30,4,51.67
32,3,51.56
33,2,46.61
34,2,45.82
35,3,45.71
30,2,28.33
